name,description,category,buying_price,selling_price,quantity,unit_type,photo,supplier_name
Guantes de boxeo - Numquam 960,Guantes de boxeo ideal para aut y actividades cotidianas. Incluye características como beatae y iste.,Deportes,151.49,294.07,56,pz,deportes.jpg,Comercializadora Cases S.C.P
Camiseta deportiva - Tempora 740,Camiseta deportiva ideal para reprehenderit y actividades cotidianas. Incluye características como quo y itaque.,Deportes,218.26,278.19,82,pz,deportes.jpg,Mariño y Santiago S.Coop.
Bicicleta de montaña - Non 233,Bicicleta de montaña ideal para consequuntur y actividades cotidianas. Incluye características como voluptates y cum.,Deportes,167.42,283.07,94,pz,deportes.jpg,Suministros del Norte S.L.N.E
Zapatillas running - Neque 466,Zapatillas running ideal para labore y actividades cotidianas. Incluye características como odit y natus.,Deportes,198.09,261.17,83,pz,deportes.jpg,Bustamante y Milla S.Com.
Gorra deportiva - Vel 323,Gorra deportiva ideal para facere y actividades cotidianas. Incluye características como minima y dolor.,Deportes,232.35,329.62,88,pz,deportes.jpg,Bonifacio Bou Blázquez S.A.
Botella de agua - Consequatur 905,Botella de agua ideal para minima y actividades cotidianas. Incluye características como delectus y quos.,Deportes,190.4,251.87,71,pz,deportes.jpg,Hermanos Carvajal S.Com.
Cuerda para saltar - Vel 335,Cuerda para saltar ideal para nisi y actividades cotidianas. Incluye características como asperiores y illo.,Deportes,211.53,327.79,14,pz,deportes.jpg,Minería Calleja & Asociados S.A.
Rodillera deportiva - Perspiciatis 381,Rodillera deportiva ideal para et y actividades cotidianas. Incluye características como corrupti y laudantium.,Deportes,260.34,345.02,82,pz,deportes.jpg,Cardona y asociados S.Coop.
Muñequeras elásticas - Nobis 125,Muñequeras elásticas ideal para ratione y actividades cotidianas. Incluye características como soluta y sint.,Deportes,235.8,347.52,95,pz,deportes.jpg,Hermanos Andres S.A.
Bolso deportivo - Voluptates 118,Bolso deportivo ideal para ipsa y actividades cotidianas. Incluye características como labore y laudantium.,Deportes,206.98,283.7,63,pz,deportes.jpg,Grupo Clemente S.Coop.
Protector bucal - Natus 445,Protector bucal ideal para atque y actividades cotidianas. Incluye características como dicta y tempora.,Deportes,14.05,157.83,76,pz,deportes.jpg,Familia Garrido S.Com.
Pesa rusa - Odit 572,Pesa rusa ideal para laboriosam y actividades cotidianas. Incluye características como dolore y maxime.,Deportes,27.0,159.61,94,pz,deportes.jpg,Logística Blazquez & Asociados S.A.
Balón de baloncesto - Sit 393,Balón de baloncesto ideal para architecto y actividades cotidianas. Incluye características como veniam y beatae.,Deportes,279.45,363.8,68,pz,deportes.jpg,Supermercados Rodrigo y asociados S.Coop.
Casco de ciclismo - Nesciunt 688,Casco de ciclismo ideal para fugit y actividades cotidianas. Incluye características como esse y quam.,Deportes,198.88,237.25,41,pz,deportes.jpg,Minería FJE S.Coop.
Red de voleibol - Inventore 212,Red de voleibol ideal para aperiam y actividades cotidianas. Incluye características como est y nam.,Deportes,292.5,412.66,45,pz,deportes.jpg,Familia Fuente S.Com.
Chaleco reflectante - Error 992,Chaleco reflectante ideal para deserunt y actividades cotidianas. Incluye características como facere y illum.,Deportes,99.5,135.93,53,pz,deportes.jpg,Carretero & Asociados S.Coop.
Gafas deportivas - Non 879,Gafas deportivas ideal para doloribus y actividades cotidianas. Incluye características como delectus y modi.,Deportes,259.66,376.25,96,pz,deportes.jpg,Minería Española S.Com.
Martillo reforzado - Animi 726,Martillo reforzado ideal para nostrum y actividades cotidianas. Incluye características como ad y officia.,Herramientas,101.67,123.91,38,pz,herramientas.jpg,Logística WVHP S.Com.
Taladro inalámbrico - Itaque 227,Taladro inalámbrico ideal para dolores y actividades cotidianas. Incluye características como sit y officia.,Herramientas,128.78,153.28,99,pz,herramientas.jpg,Borja y asociados S.L.L.
Cinta métrica - Exercitationem 197,Cinta métrica ideal para nostrum y actividades cotidianas. Incluye características como repudiandae y natus.,Herramientas,182.61,289.16,58,pz,herramientas.jpg,Servicios MLO S.A.
Caja de herramientas - Tempora 147,Caja de herramientas ideal para cum y actividades cotidianas. Incluye características como quia y quaerat.,Herramientas,109.1,141.03,84,pz,herramientas.jpg,Minería del Levante S.L.
Destornillador eléctrico - Tenetur 150,Destornillador eléctrico ideal para dignissimos y actividades cotidianas. Incluye características como ex y corporis.,Herramientas,171.77,259.02,17,pz,herramientas.jpg,Infraestructuras Figueroa S.A.
Sierra manual - Dolor 651,Sierra manual ideal para ullam y actividades cotidianas. Incluye características como autem y dolorum.,Herramientas,198.08,313.98,39,pz,herramientas.jpg,Abril Sanchez Moraleda S.L.N.E
Nivel de burbuja - Sunt 269,Nivel de burbuja ideal para ipsam y actividades cotidianas. Incluye características como distinctio y nulla.,Herramientas,166.92,238.64,53,pz,herramientas.jpg,Tecnologías GPE S.Com.
Llave inglesa - Aut 801,Llave inglesa ideal para ipsa y actividades cotidianas. Incluye características como officiis y odio.,Herramientas,44.03,177.74,33,pz,herramientas.jpg,Familia Peinado S.L.L.
Juego de brocas - Autem 606,Juego de brocas ideal para tenetur y actividades cotidianas. Incluye características como consectetur y sint.,Herramientas,33.08,76.23,40,pz,herramientas.jpg,Sevillano y Armengol S.Coop.
Clavos variados - Rem 630,Clavos variados ideal para totam y actividades cotidianas. Incluye características como eaque y iste.,Herramientas,124.46,158.44,63,pz,herramientas.jpg,Angélica Contreras Barrio S.Coop.
Alicate multifunción - Laboriosam 406,Alicate multifunción ideal para blanditiis y actividades cotidianas. Incluye características como quae y tenetur.,Herramientas,202.29,229.86,66,pz,herramientas.jpg,Banco Huguet S.L.
Soldador eléctrico - Nulla 431,Soldador eléctrico ideal para qui y actividades cotidianas. Incluye características como quasi y similique.,Herramientas,282.44,374.77,56,pz,herramientas.jpg,Promociones Peralta S.L.N.E
Lijadora orbital - Molestias 802,Lijadora orbital ideal para nemo y actividades cotidianas. Incluye características como labore y veritatis.,Herramientas,127.1,270.47,97,pz,herramientas.jpg,Hermanos Bastida S.Com.
Remachadora - Quos 287,Remachadora ideal para veritatis y actividades cotidianas. Incluye características como molestiae y id.,Herramientas,30.12,162.93,10,pz,herramientas.jpg,Despacho Mínguez & Asociados S.Coop.
Cúter retráctil - Dicta 647,Cúter retráctil ideal para laudantium y actividades cotidianas. Incluye características como ipsa y ullam.,Herramientas,183.5,219.73,29,pz,herramientas.jpg,Castelló y Blazquez S.Com.
Multímetro digital - Minus 642,Multímetro digital ideal para temporibus y actividades cotidianas. Incluye características como iure y debitis.,Herramientas,105.52,188.25,66,pz,herramientas.jpg,Suministros SSJL S.L.N.E
Guantes anticorte - Placeat 669,Guantes anticorte ideal para earum y actividades cotidianas. Incluye características como et y deserunt.,Herramientas,131.43,160.25,21,pz,herramientas.jpg,Comercializadora Marqués S.L.L.
Mazo de goma - Consequuntur 840,Mazo de goma ideal para quae y actividades cotidianas. Incluye características como quis y qui.,Herramientas,247.57,377.86,76,pz,herramientas.jpg,Hermanos Castro S.Coop.
Cepillo de acero - Dolor 762,Cepillo de acero ideal para dolorem y actividades cotidianas. Incluye características como ducimus y voluptate.,Herramientas,148.15,194.24,86,pz,herramientas.jpg,Supermercados Arranz S.Com.
Lupa con luz - Veritatis 287,Lupa con luz ideal para ex y actividades cotidianas. Incluye características como numquam y similique.,Herramientas,117.0,202.52,37,pz,herramientas.jpg,Supermercados Guillén & Asociados S.Com.
Reloj deportivo - Optio 553,Reloj deportivo ideal para earum y actividades cotidianas. Incluye características como maxime y veritatis.,Accesorios,254.3,389.57,14,pz,accesorios.jpg,Íñigo Luján Piña S.Coop.
Gorra de béisbol - Nihil 263,Gorra de béisbol ideal para dolorem y actividades cotidianas. Incluye características como eligendi y sed.,Accesorios,239.42,297.4,63,pz,accesorios.jpg,Infraestructuras Azorin S.L.
Mochila urbana - Minima 757,Mochila urbana ideal para quod y actividades cotidianas. Incluye características como corporis y quas.,Accesorios,47.91,84.25,98,pz,accesorios.jpg,Instalaciones NO S.L.N.E
Cinturón de cuero - Dignissimos 538,Cinturón de cuero ideal para nostrum y actividades cotidianas. Incluye características como consectetur y est.,Accesorios,288.49,348.39,70,pz,accesorios.jpg,Soledad Olmedo Amor S.Com.
Bolso cruzado - Nam 308,Bolso cruzado ideal para provident y actividades cotidianas. Incluye características como minima y ex.,Accesorios,38.6,90.8,61,pz,accesorios.jpg,Bilbao y Perera S.A.T.
Lentes de sol - Ipsum 160,Lentes de sol ideal para consequuntur y actividades cotidianas. Incluye características como totam y iusto.,Accesorios,179.65,252.12,56,pz,accesorios.jpg,Desarrollo Arenas S.C.P
Pañuelo estampado - Optio 862,Pañuelo estampado ideal para voluptatem y actividades cotidianas. Incluye características como deserunt y voluptatibus.,Accesorios,285.54,360.98,80,pz,accesorios.jpg,Vidal Adadia Bernad S.A.
Guantes de invierno - Esse 952,Guantes de invierno ideal para distinctio y actividades cotidianas. Incluye características como quo y sequi.,Accesorios,182.57,267.39,71,pz,accesorios.jpg,Cantero y Maldonado S.A.U
Cartera compacta - Cupiditate 836,Cartera compacta ideal para architecto y actividades cotidianas. Incluye características como excepturi y nihil.,Accesorios,234.64,263.75,94,pz,accesorios.jpg,Bernardino Cantero Valero S.Coop.
Bandolera casual - Ad 740,Bandolera casual ideal para suscipit y actividades cotidianas. Incluye características como quam y repellat.,Accesorios,193.94,294.08,73,pz,accesorios.jpg,Despacho Inteligentes S.Com.
Riñonera moderna - Sint 303,Riñonera moderna ideal para libero y actividades cotidianas. Incluye características como excepturi y rem.,Accesorios,113.2,163.91,99,pz,accesorios.jpg,Exposito y Boada S.Coop.
Bufanda de alpaca - Magni 910,Bufanda de alpaca ideal para atque y actividades cotidianas. Incluye características como qui y quisquam.,Accesorios,283.43,397.66,33,pz,accesorios.jpg,Hnos Soriano S.A.
Llavero decorativo - Molestias 408,Llavero decorativo ideal para minima y actividades cotidianas. Incluye características como explicabo y ad.,Accesorios,58.38,199.76,86,pz,accesorios.jpg,Bauzà y asociados S.A.U
Funda para celular - Unde 252,Funda para celular ideal para sunt y actividades cotidianas. Incluye características como corporis y repellendus.,Accesorios,62.25,139.87,90,pz,accesorios.jpg,Cañellas & Asociados S.Com.
Estuche de gafas - Labore 595,Estuche de gafas ideal para temporibus y actividades cotidianas. Incluye características como doloribus y vitae.,Accesorios,30.11,129.94,14,pz,accesorios.jpg,Josefa Tejero Esparza S.L.L.
Gorro tejido - At 700,Gorro tejido ideal para officia y actividades cotidianas. Incluye características como amet y impedit.,Accesorios,272.8,295.51,92,pz,accesorios.jpg,Banco Ibérica S.L.N.E
Pinza para billetes - Ipsam 123,Pinza para billetes ideal para ipsa y actividades cotidianas. Incluye características como quam y nam.,Accesorios,167.97,315.92,91,pz,accesorios.jpg,José Luis Arce Feijoo S.C.P
Tirantes elegantes - Architecto 330,Tirantes elegantes ideal para ullam y actividades cotidianas. Incluye características como iure y fugit.,Accesorios,19.52,129.64,31,pz,accesorios.jpg,Promociones UMU S.Com.
Diadema floral - Ea 731,Diadema floral ideal para praesentium y actividades cotidianas. Incluye características como voluptate y praesentium.,Accesorios,64.46,105.11,22,pz,accesorios.jpg,Vives y asociados S.L.
Collar artesanal - Nisi 604,Collar artesanal ideal para beatae y actividades cotidianas. Incluye características como non y sed.,Accesorios,80.33,176.56,49,pz,accesorios.jpg,Instalaciones Montesinos S.A.
